,Text,NER
0,A-AMA-a2-a,PN
1,A-AN-ba-az,PN
2,A-Ab-ba-ge-na-ta,PN
3,A-Ad-da,PN
4,A-Ad-da-kal-la,PN
5,A-Ad-da-mu,PN
6,A-An-na-hi-li-bi,PN
7,A-DU-a,PN
8,A-DU-ba,PN
9,A-DU-ba-bi,PN
10,A-DU-gam-ma,PN
11,A-DU-la-URU,PN
12,A-DU-mu,PN
13,A-DU-mu-ta,PN
14,A-DU-ra-mu,PN
15,A-DU-ta,PN
16,A-DU.DU-e,PN
17,A-DU.DU-ke4,PN
18,A-DU.DU-ta,PN
19,A-DU.DU-še3,PN
20,A-Eš4-tar2,PN
21,A-GU4-na-mu,PN
22,A-KA-a,PN
23,A-KU-um,PN
24,A-KU.KU-lum,PN
25,A-KU.KU-ta,PN
26,A-LUM-ma,PN
27,A-MUNU4-da,PN
28,A-NE-i3-zi,PN
29,A-NE-ku-bi,PN
30,A-NI-NI-še3,PN
31,A-NI-ma,PN
32,A-NI-nu,PN
33,A-NI-sig5,PN
34,A-NI-ta,PN
35,A-NI.NI-ki-ma-še3,PN
36,A-PA4-u2-a,PN
37,A-TU5-še3,PN
38,A-U.E2-nu-tuku,PN
39,A-a,PN
40,A-a-,PN
41,A-a-Kal-la,PN
42,A-a-NI,PN
43,A-a-UN-e-ba-ab-du7,PN
44,A-a-a,PN
45,A-a-ab-ba,PN
46,A-a-ar,PN
47,A-a-ba,PN
48,A-a-ba-ni,PN
49,A-a-ba-ta,PN
50,A-a-bad3,PN
51,A-a-bad3-da-ri2-a,PN
52,A-a-bad3-mu,PN
53,A-a-bar-ra,PN
54,A-a-bi,PN
55,A-a-bi-ta,PN
56,A-a-bi2-du10,PN
57,A-a-da,PN
58,A-a-dingir,PN
59,A-a-dingir-mu,PN
60,A-a-dingir-mu-ta,PN
61,A-a-dingir-mu-še3,PN
62,A-a-dingir-ta,PN
63,A-a-du10-ga,PN
64,A-a-e,PN
65,A-a-ga,PN
66,A-a-ga-mu,PN
67,A-a-ga-ta,PN
68,A-a-ge-na,PN
69,A-a-ge-na-ta,PN
70,A-a-gir15,PN
71,A-a-gir15{ir},PN
72,A-a-gu-ni,PN
73,A-a-ha-ma-ti,PN
74,A-a-i3-li2,PN
75,A-a-i3-li2-su,PN
76,A-a-i3-li2-šu,PN
77,A-a-igi-du8-a,PN
78,A-a-ka-la,PN
79,A-a-kal,PN
80,A-a-kal-la,PN
81,A-a-kal-la-,PN
82,A-a-kal-la-bi,PN
83,A-a-kal-la-ka,PN
84,A-a-kal-la-mu,PN
85,A-a-kal-la-ra,PN
86,A-a-kal-la-ta,PN
87,A-a-kal-la-še3,PN
88,A-a-kal-laa,PN
89,A-a-ki-da,PN
90,A-a-ki-lu5,PN
91,A-a-ki-lu5-la,PN
92,A-a-ki:lu5-la,PN
93,A-a-lal3,PN
94,A-a-li2-tum,PN
95,A-a-lu2-du10,PN
96,A-a-lu2-du10-a,PN
97,A-a-ma,PN
98,A-a-ma-an-gi4,PN
99,A-a-mu,PN
100,A-a-mu-dah,PN
101,A-a-mu-ma-an-GIG,PN
102,A-a-mu-ra,PN
103,A-a-mu-ta,PN
104,A-a-mu-še3,PN
105,A-a-na-tum-e,PN
106,A-a-ni,PN
107,A-a-ni-šu,PN
108,A-a-ni-šu-ta,PN
109,A-a-ni-šu-še3,PN
110,A-a-ri,PN
111,A-a-ri2-in,PN
112,A-a-ri2-mu-še3,PN
113,A-a-teš2-mu,PN
114,A-a-ti,PN
115,A-a-tum,PN
116,A-a-u4-su3-še3,PN
117,A-a-ur-sag,PN
118,A-a-uru-IN,PN
119,A-a-uru-mu,PN
120,A-a-za-ni,PN
121,A-a-zi-da,PN
122,A-a-zi-mu,PN
123,A-a-zi-mu-ta,PN
124,A-a-zu,PN
125,A-a-{d}Nanna-ar-kal-la,PN
126,A-a-ša3-mu,PN
127,A-a-še3,PN
128,A-a2-lal3,PN
129,A-ab--sa6-ga,PN
130,A-ab-GAL2-mu,PN
