ID,FORM,XPOSTAG
1,2(disz),NU
1,sag-x,PN
2,giri3,N
2,{d}nanna-ag2,PN
3,mu,N
3,us2-sa,V
3,gi-sza{ki},GN
3,ba-hul,V
4,2(disz),NU
4,e2-gissu-gar,PN
4,dumu,N
4,lu2-eme,PN
5,ugula,N
5,sanga,N
5,e2-mah-da,TN
6,ARAD2-gi4-sal4-la{ki},PN
7,giri3,N
7,ur-x-x-a,PN
8,n,NU
8,n(barig),N
8,1(ban2),N
8,gur,N
8,ki,N
8,nin-in-nu-tuku,PN
9,dumu,N
9,i3-da-ga-na,PN
10,mu,N
10,us2-sa,V
10,ur-{d}pa-bil3,PN
10,{d}inanna,DN
10,ba-hun,V
11,ur-{d}x-x,PN
11,x-musz,O
12,2(asz),NU
12,2(barig),N
12,2(ban2),N
12,gur,N
12,ki,N
12,sza3-kal-la,PN
12,ur-am-ma,PN
13,1(bur3),N
13,GAN2,N
13,a-a-ki-da,PN
14,1(ban2),N
14,5(disz),NU
14,nu,V
14,lugal-esz2-mah,PN
14,x,N
15,szunigin,N
15,1(gesz2),NU
15,3(u),NU
15,2(disz),NU
15,gu4,N
16,i3-ba,N
16,ku3-{d}nin-ur4,PN
17,4(asz),NU
17,gu2,N
17,2(u),NU
17,5(disz),NU
17,ma-na,N
17,siki-ud5,N
18,3(asz),NU
18,gur,N
19,giri3,N
19,nin-ga2-ne-ka,PN
20,2(barig),N
20,3(ban2),N
20,ab-ba-saga,PN
21,dumu,N
21,e2-DU,PN
22,nig2-ka9-ak,N
22,ARAD2-x-en,PN
23,szunigin,N
23,2(disz),NU
23,5/6(disz),NU
23,ma-na,N
23,1/2(disz),NU
23,gin2,N
23,4(disz),NU
23,sze,N
23,ku3-babbar,N
24,ugu2,N
24,a-bi2-dim2,PN
24,dumu,N
24,a-bu-ha-du,PN
24,ga2-ga2-dam,V
25,ki,N
25,ur-{d}szu4-gan-na,PN
26,lu2,N
26,e2,N
26,lugal-x-x-usz,DN
27,...,O
27,lu2-{d}ga,PN
28,dumu,N
28,lugal-e2-bu,PN
29,|PU3.SZA|-ha-mi,PN
30,szunigin,N
30,...,O
31,e2-duru5-nin-si-ga,FN
31,gub-ba,V
32,ki,N
32,zi-du,PN
33,i3-ba,PN
34,mu,N
34,us2-sa,V
34,lagasz{ki}-ka,GN
34,ba-hul,V
35,lugal,N
35,szimaszki{ki},GN
35,szu-ru-ud-hu-um{ki},GN
36,hi-ab-ra-du,PN
36,szabra,N
37,...,O
37,gur-TUL2,PN
37,dumu-ni,N
38,ugula,N
38,ur-du6-hi-li-ba,PN
39,na-bi2-a,PN
40,ku-ru-ub-e2-a,PN
41,1(disz),NU
41,lugal-sa,PN
42,a-sza3,N
42,GA2-e2-gal{ki},FN
42,i7,N
42,nun-ta,N
42,ka,N
42,ki-sal4-mu,WN
43,nig2-gur11,N
43,ti-bi-a-kul,PN
44,ku3-bi,N
44,2/3(disz),NU
44,gin2,N
45,{d}mes-lam-tesz2,PN
46,4(u),NU
46,5(disz),NU
46,gurusz,N
46,u4,N
46,1(disz)-sze3,NU
46,a2,N
46,nin9-tesz2-tesz2-ka,PN
46,sze,N
46,ba-a,V
47,ki,N
47,bi2-du11-ga-ta,PN
48,i7-da-i3-sa6,PN
49,me-wu-zu,PN
50,3(disz),NU
50,pu3-...,PN
51,3(disz),NU
51,amar-lu2-ku,PN
52,ki,N
52,an-ne2-ba-du2,PN
53,ur-ki-siki,PN
53,ka-guru7,N
54,ab-ba-gi-na,PN
54,si-ti-ir-sza{ki},GN
55,kiszib3,N
55,e-bu-gu,PN
56,kiszib3,N
56,lu2-en-unu{ki},PN
57,1(barig),N
57,sze-ba,N
57,giri3-ni-mah,PN
58,{d}ba-ba6-ku3,PN
59,gu2,N
59,i7,N
59,idigna-da,WN
60,mu,N
60,us2-sa,V
60,akszak{ki},GN
60,ba-hul,V
61,{d}x-...-da,PN
62,ki,N
62,nin-x-ab-ba,PN
63,1(disz),NU
63,{gesz}ba-an,N
63,lugal,N
64,nu-banda3-gu4,N
64,lugal-x-x-ni,DN
65,geme2-{d}nin-tu,PN
66,dingir-szu-sipa,PN
67,3(disz),NU
67,ARAD2-da-am3,PN
68,1(asz@c),NU
68,udu,N
69,kiszib3,N
69,ur-{d}szara2-i3-zu,PN
70,szunigin,N
70,2(ban2),N
70,6(disz),NU
70,sila3,N
70,kasz,N
70,szunigin,N
70,2(ban2),N
70,4(disz),NU
70,sila3,N
70,ninda,N
71,{d}nin-ezem-an-na,PN
72,ma-li-a,PN
73,2(u),NU
73,1(disz),NU
73,masz2,N
74,ki,N
74,ur-{d}AB-...,PN
75,9(bur3),N
75,2(esze3),N
75,1(iku),N
75,GAN2,N
75,nigin8-e2-banszur,FN
76,5(disz),NU
76,x,N
76,...,V
76,a-li2-ih,PN
77,...,O
77,gu4,N
77,gesz-du3,N
78,8(disz),NU
78,sila3,N
78,4(disz),NU
78,gin2,N
78,{d}szul-gi-iri(GA2),PN
78,u3,CNJ
78,{d}szul-gi-si2-im-tum-ma,PN
79,ugula,N
79,ur-lu2-ka,PN
80,bar-ra-AN,PN
81,ur-ab-zu,PN
81,sukkal,N
82,dumu,N
82,e2-bil4-le,PN
82,kuruszda,N
83,2(asz),NU
83,du,V
83,nin-nin9-ra-ki-ag2,PN
84,a-ha-am-ar-szi,PN
84,alan-da,N
84,gen-na,V
85,kiszib3,N
85,dingir-inim-si-sa2,PN
86,1(barig),N
86,ARAD2-hul3-la-ka,PN
86,simug,N
87,3(u),NU
87,1(disz),NU
87,kir11,N
87,szimaszgi,N
88,igi-{d}anzu2{muszen}-da,PN
89,a-sza3,N
89,e2-da-tug2,FN
90,geme2-e-bar-ga2,PN
91,ki,N
91,hu-lu-ur2,PN
92,ugula,N
92,lu2-{d}...,PN
93,2(asz),NU
93,2(barig),N
93,...-en,PN
94,dumu,N
94,lu2-ku3-nun,PN
95,dumu,N
95,nin-e-zu,PN
96,1(barig),N
96,sze-ba,N
96,|PU3.SZA|-ma-ma-kam,PN
97,ki,N
97,ur-akkil,PN
98,2(asz),NU
98,ur-pu2-mun-na,PN
99,1(disz),NU
99,ku-ru-ub-er11,PN
100,nin-di-ku5,PN
101,2(barig),N
101,{d}en-lil2-la2-sa6-ga,PN
101,engar,N
102,lu2-gi-na-kam,PN
103,a-ab-u5-un,PN
104,x-ba-zi,FN
104,nibru{ki}-sze3,SN
105,kiszib3,N
105,{d}x-igi-bar,PN
106,ur2-ku3,PN
106,engar,N
107,2(barig),N
107,3(ban2),N
107,{d}szul-gi-kalam-ma-hi-li-bi,PN
108,dam,N
108,lum-za-tur,PN
109,1(bur3),N
109,1(esze3),N
109,5(iku),N
109,1/2(iku),N
109,GAN2,N
109,saga,V
110,geme2-{d}na-ru2-a,PN
110,szu,N
110,ba-ti,V
111,gu2,N
111,i7,N
111,u3-sur-ma2-gur8-ra,WN
112,ki,N
112,i-mi-id-dingir,PN
113,ki,N
113,ur-bar,PN
114,ki,N
114,bu3-{d}da-gan,PN
115,ki,N
115,ul-ma-szi-tum,PN
116,2(asz),NU
116,2(barig),N
116,szu-gu-...,PN
117,2(disz),NU
117,masz2-gal,N
117,niga,V
117,gu4-e-us2-sa,N
118,lugal-tur-tur,PN
119,lu2-ib-gal,PN
119,sukkal,N
119,gaba-ta,N
120,kiszib3,N
120,szu-im-mi-NI,PN
121,ur-sila,PN
122,aga3-us2,N
122,lugal,N
122,ki,N
122,u2-tar,PN
122,gen-na,V
123,mu,N
123,bad3-gal,N
123,ba-du3,V
124,3(disz),NU
124,a-la-ap-ri2-x,PN
125,mu-kux(DU),N
125,lu2-a-a,PN
125,sanga,N
126,giri3,N
126,e2-bur3,PN
127,lugal-{d}pirig3,PN
127,...,O
127,gu4,N
127,x,O
128,ki,N
128,nin-du11-ga,PN
129,mu,N
129,us2-sa,V
129,ba-ki-lum,PN
129,{d}inanna,DN
129,ba-hun,V
130,kiszib3,N
130,hu-nu-nu-lu,PN
130,dub-sar,N
131,1(gesz2),NU
131,3(u),NU
131,6(disz),NU
131,sar,N
131,...,O
131,al,N
131,n,NU
131,sar-ta,N
132,1(disz),NU
132,id-gur2,N
132,i3,N
132,nin-a2-ge6-ni,PN
133,sipa-sag10,PN
134,ugula,N
134,i-bi2-{d}isztaran,PN
134,kuruszda,N
135,3(asz),NU
135,du,V
135,szu-e2-a,PN
136,gi-ra-num2,N
136,{d}inanna,DN
137,lugal-tug2,PN
138,dumu,N
138,ur-li9-si4-na,PN
138,szusz3,N
139,ugula,N
139,engar-ba-ni,PN
140,1(disz),NU
140,lugal-sag3-ga,PN
141,kiszib3-bi,N
141,2(disz),NU
141,kiszib3,N
141,igi-a-zi,PN
142,1(disz),NU
142,bar-ni-nagar,PN
143,giri3,N
143,{d}nansze-i3-sa6,PN
144,dumu,N
144,igi-du-bi,PN
145,kiszib3,N
145,ha-ba-{d}szara2-gin7,PN
146,1(ban2),N
146,2(disz),NU
146,gin2,N
146,en-di-ne,PN
147,ki,N
147,ma2-ku,PN
148,ugula,N
148,ur-{gesz}geszimmar,PN
149,4(disz),NU
149,sila3,N
149,{d}ig-alim-i3-sa6,PN
150,me-ku-ru-a,PN
151,sza3-dingir,PN
151,umma{ki},SN
152,...,O
152,ur-temen-na,PN
153,2(asz),NU
153,1(barig),N
153,3(ban2),N
153,sze,N
153,gur,N
153,ki,N
153,a-du-mu,PN
154,2(disz),NU
154,geme2-{d}szara2,PN
155,4(disz),NU
155,{gesz}erin,N
155,...,O
156,sze,N
156,hu-ru-ba-x,FN
156,mu-kux(DU),N
157,giri3,N
157,za-na-ti,PN
158,kiszib3,N
158,ur-gi-bar,PN
159,8(disz),NU
159,masz2-gal,N
159,niga,V
160,...-AD-AN-x-MI,PN
160,sukkal,N
160,gaba-ta,N
161,bi2-na-tum,PN
162,ki,N
162,lugal-dingir-ni,PN
163,mu,N
163,us2-sa,V
163,mu-ki-isz{ki},GN
163,ba-hul,V
164,nir-i3-da-gal2,PN
165,e2-duru5,N
165,gesz-da,GN
166,szu-da,PN
167,u3,CNJ
167,a-sza3,N
167,i7,N
167,a-{d}nin-tu,WN
168,nig2-dab5,N
168,gesz-kin-ti,N
168,ki,N
168,bur-na-zu,PN
169,ki,N
169,A2-ga-ga,PN
170,ki,N
170,gab2-us2-bi,PN
171,ur-ge6-par4-ra,PN
171,nu-banda3,N
172,2(barig),N
172,3(ban2),N
172,kur-at-i3-li2,PN
173,nin9-da-da,PN
174,giri3,N
174,szesz-szesz,PN
174,szar2-ra-ab-du,N
175,giri3,N
175,er3-ra-ba-ni,PN
176,mu,N
176,{d}en-lil2-he2-ti,PN
177,{d}utu-ma-an-sum,PN
178,2(barig),N
178,naga,N
178,si-e3,V
179,mu,N
179,ur-{d}gilgamesx(|BIL3.GA.MES|)-ka,PN
180,2(asz),NU
180,saga,V
180,ba-ka,PN
181,1(disz),NU
181,udu,N
181,niga,V
