ID,FORM,XPOSTAG
1,nig2-bun2-na,O
1,szeg12,O
1,udun-na-ke4,O
1,du14,O
1,ga-nam,O
1,mu-da-mu2,O
2,kug,O
2,{d}lugal-ban3-da,DN
2,giri2-ta,O
2,ba-ra-an-szab,O
3,gud,O
3,sig7,O
3,masz2,O
3,du-du,O
3,udu,O
3,niga,O
3,im-ma-ab-tuku-a,O
4,alan,O
4,kug-sig17,O
4,ud,O
4,dug3-ga,O
4,tud-da,O
4,ṣa-lamx(LUM) hu-ra-ṣi i-nu-mi ṭa-bu UD.DA,O
5,bir,O
5,kur-ra,O
5,ud,O
5,e3-ta,O
5,ud,O
5,szu2-usz,O
5,...,O
5,X,O
5,X,O
5,tum2-tum2-mu,O
6,X,O
6,1(DISZ),O
6,GAN,O
6,X,O
6,X,O
7,nig2,O
7,ud-de3,O
7,gu7,O
7,ur-re,O
7,ba-an-gar,O
8,lu2,O
8,an-ta,O
8,ki-a,O
8,gub-ba-gin7,O
9,MURGU,O
9,LUM-LUM-de3,O
9,bar,O
9,szir,O
9,du3-du3-de3,O
10,dug4-ga,O
10,bi2-in-dug4-ga,O
10,a-ra2-a-ra2-zu,O
10,...,O
11,ge-en,O
11,X,O
11,X,O
11,X,O
11,X,O
11,X,O
11,szudu3-szudu3-ba,O
11,zig3-ga-me,O
12,szag4,O
12,dirig,O
12,tur5-ra-am3,O
12,an-tur5,O
12,...,O
13,e,O
13,i,O
13,lu2-gal-gu10,O
13,u3,O
13,zid,O
13,szi-mu-nu,O
14,ba-ba-tu,PN
14,pi-sza3-ad-ba-ar-ra,O
14,at-ta-at-ta,O
14,e-eg-la-am-gu,O
14,SZE3 ba-ba-ti sza3-an-da-ba-ak-ki,O
15,{d}suen,DN
15,ama,O
15,ugu-ni,O
15,i-lu-ni,O
15,na-nam,O
16,a2-asz2,O
16,a-szag4-ga-zu,O
16,da,O
16,he2-en-gal2,O
16,kig2-zu,O
16,igi,O
16,kar2-ka-ab,O
17,{gisz}erin-gin7,O
17,szar2,O
17,dug4-ge,O
17,sza-mu-ra-an-gi16-ib,O
17,a-a,O
17,kur-kur-ra-ke4,O
18,szul,O
18,{d}utu,DN
18,si-musz3,O
18,kug-ga-na,O
18,an-ta,O
18,mu-ta-la2,O
19,{gisz}u3-bi,O
19,tir,O
19,eb2-la-ta,SN
20,si,O
20,nig2-silag,O
20,{gisz}mar,O
20,mah-a,O
20,du8-a-zu,O
21,{gisz}mar-szum,O
21,{d}nin-lil2-ra,DN
21,mu-dim2-ma-a,O
22,ma-da,O
22,ha-ma-zi{ki}-ta,SN
22,en-na,O
22,a-ab-ba,O
22,ma2-gan-na{ki}-sze3,GN
22,X,O
22,A,O
22,ma2-gan-an-na{ki}-ta,GN
23,mu,O
23,{d}nin-lil2-la2,DN
23,im-mi-ib2-pad3-de3,O
24,bad3,O
24,gal,O
24,igi-hur-sag-ga2,GN
24,mu,O
24,lu2-kur2,O
24,hul-gal2-sze3,O
25,UR2,O
25,ku-zu,O
25,pa3,O
25,e,O
25,szi-mi-nu,O
26,ur-sag,O
26,gub-be2,O
26,szu-bi-sze3,O
26,la2-a,O
26,tug2-da,O
26,...,O
27,...-ta-e3,O
28,gi6-par4,O
28,kug,O
28,ki,O
28,kug-kug-ga-ni-sze3,O
29,de5-ga,O
29,nig2-silag-ga2,O
29,im-mi-in-kal{},O
30,a,O
30,mu-e-nag,O
30,...,O
30,mu-zig3,O
31,im-ba,O
31,am3-ga2-ga2,O
31,...,O
32,za-e-me-en,O
32,gurun-zu{},O
32,mu-un-gub,O
33,amasz-e,O
33,ga,O
33,mu-un-da-an-gid2-e,O
34,ur-sag,O
34,na-nam,O
34,ur-sag,O
34,na-nam,O
34,ur-sag,O
34,kur,O
34,nu-e3,O
35,gu,O
35,mu-un-na-sur-ru-ne,O
35,sa,O
35,mu-un-na-kesze2-da-ne,O
35,mu-un-na-kesze2-re-ne,O
36,ki-sikil,O
36,u6,O
36,di,O
36,...,O
37,nitah-bi,O
37,u3-gaz,O
38,...,O
38,X,O
38,gu2,O
38,mu-un-...,O
39,...,O
39,sa2,O
39,mi-ni-in-dug4-ga,O
40,...,O
40,X-na-DI-e-en,O
41,a-szag4-ga,O
41,ed3-da-bi,O
41,masz,O
41,nu-dab5-be2,O
42,giri3,O
42,X,O
42,...,O
42,munus-am3,O
43,sun4,O
43,za-gin3,O
43,sud4-sud4,O
43,he2-a-u5{},O
44,{d}gibil6,DN
44,e2-gal,O
44,unu2,O
44,...,O
45,u8-e,O
45,sila4-bi,O
45,mi2,O
45,zid,O
45,di-de3,O
46,ed3-de3-ra,O
46,husz-na,O
46,husz-a,O
47,ha-am-mu-ra-bi,RN
47,dug4-ga,O
47,mah-me-esz2,O
47,nir,O
47,he2-gal2,O
47,a2,O
47,inim,O
47,dug3-ga,O
47,X,O
47,...,O
48,...,O
48,dumu-zu,O
48,ga-ba-ab-tuku,O
