ID,FORM,XPOSTAG
1,{gisz}gisznimbar-gin7,N
1,TUR,O
1,USZ,O
1,ki-in-du{},N
2,masz2-ansze-masz2-ansze-bi,N
2,7-me-esz,NU
3,ka5-a,N
3,gesztug2-bi,N
3,X,O
3,...,O
4,sun4,N
4,za-gin3,N
4,sud-sud,V
4,X,O
4,...,O
5,lu2-ulu3,N
5,X,O
5,...,O
6,lu2,N
6,lu2-u3-ra,N
6,dili,AJ
6,a-na,DET
6,na-an-tah,V
7,id2,N
7,a-ba,N
7,mu-un-na-ba-e-ne,V
7,szu,N
7,am3-ma-gid2-de3-en,V
8,lu2,N
8,kug,N
8,tuku,V
8,lu2,N
8,za,N
8,tuku,V
8,lu2,N
8,gud,N
8,tuku,V
8,lu2,N
8,udu,N
8,tuku,V
9,ki,N
9,nam,N
9,tar-re-da,V
9,nam,N
9,szi-im-da-ab-tar-re-en,V
10,digir,N
10,giri3,N
10,kug,AJ
10,{d}nun-gal-la-ke4,NE
10,ni2,N
10,silim-esz2,V
10,al-e,V
11,lugal-ra,N
11,{gisz}kiri6,N
11,mu-un-na-ab-gub-be2-en,V
12,e2-kur,NE
12,esz3,N
12,mah,V
12,me,N
12,nam-nun-na,N
12,szu-zu-sze3,N
12,im-mi-si,V
13,musz3-a-ni,N
13,hur-ru-um,N
13,kur-ra-kam,N
13,ud,N
13,mu-un-na-ga2-ga2,V
14,szag4,N
14,{d}en-lil2-la2,NE
14,hul2-la-am3-ta,V
14,he2-mi-ge-en6,V
15,a-a-gu10,N
15,uru2-gu10,N
15,ki-bi,N
15,ha-ma-gi4-gi4,V
16,{gisz}al-e,N
16,{gisz}apin-na,N
16,a-da-min3,N
16,dug4-ga,V
17,nam,N
17,nu-tar-re,V
17,ki-gul-la,N
17,gaba,N
17,ba-an-ri-me-en,V
18,...,O
18,X,O
18,tum2-mu,V
19,gud,N
19,sig9-ga,V
19,sahar-ra,N
19,igi-bi,N
19,zid2,N
19,ak-a,V
20,gug-kal,N
20,bar-sze3,N
20,mu,N
20,sze-gar-ra-ka,N
20,igi,N
20,kalam-ma-ka,N
20,na-ni-sag9,V
21,a2-il2,N
21,kalag-ga,V
21,lugal,N
21,sze-ke4,N
21,bi2-ib-ra-ra-e-sze,V
22,{m}{d}nanna-ki-ag2,NE
22,ra-bi-si2-ka3-tum-ma,N
23,kur,N
23,ni2-ba,DET
23,tusz-a,V
23,digir-bi,N
23,he2-me-en,V
24,ki,N
24,alim-ma-na,N
24,digir-re-e-ne,N
25,X,O
25,X-zu,O
25,kug-ga-am,AJ
25,da-da-ga,V
26,u5-munu4{muszen},N
26,...,O
