ID,FORM,XPOSTAG
1,1(disz),NU
1,udu-nita2,N
1,ba-usz2,V
2,1(disz),NU
2,sila4,N
2,ASZ-ur4,N
2,ba-usz2,V
3,ki,N
3,ur-u3-ta,NE
4,sza3,N
4,bala-a,N
5,kiszib3,N
5,ARAD2,NE
6,iti,N
6,sze-sag11-ku5,NE
7,mu,N
7,us2-sa,V
7,ki-masz{ki},NE
7,ba-hul,V
8,ARAD2-mu,NE
9,dub-sar,N
10,dumu,N
10,ur-nigar{gar},NE
10,szusz3,N
11,1(disz),NU
11,udu,N
12,1(disz),NU
12,u8,N
13,1(disz),NU
13,sila4,N
14,1(disz),NU
14,masz2-gal,N
15,ba-usz2,V
15,u4,N
15,1(u),NU
15,la2,V
15,1(disz@t)-kam,NU
16,sza3,N
16,tum-ma-al,NE
17,ki,N
17,en-dingir-mu-ta,NE
18,{d}szul-gi-iri-mu,NE
19,szu,N
19,ba-ti,V
20,iti,N
20,a2-ki-ti,NE
21,mu,N
21,en,N
21,{d}nanna,NE
21,ba-hun,V
22,1(disz),NU
22,udu,N
22,1/3(disz),NU
22,gin2,N
22,2(u),NU
22,sze,N
22,...,O
23,3(disz),NU
23,udu,N
23,1(disz),NU
23,gin2,N
23,igi-6(disz)-gal2,NU
23,...,O
24,1(disz),NU
24,udu,N
24,1/3(disz),NU
24,gin2,N
24,1(u),NU
24,sze,N
24,{d}suen-...,O
25,ur-ba-gara2,NE
26,dub-sar,N
27,dumu,N
27,ur-{d}...,NE
28,1(ban2),N
28,3(disz),NU
28,sila3,N
28,i3-nun,N
29,1(ban2),N
29,6(disz),NU
29,sila3,N
29,ga,N
29,gazi,N
30,ki,N
30,ur-mes-ta,NE
31,ur-{d}dumu-zi,NE
32,szu,N
32,ba-ti,V
33,iti,N
33,szu-gar-gal,NE
34,1(disz),NU
34,udu,N
34,niga,V
34,ba-usz2,V
35,ki,N
35,an-na-hi-li-bi-ta,NE
36,kiszib3,N
36,lu2-kal-la,NE
37,iti,N
37,pa4-u2-e,NE
38,mu,N
38,en-unu6-gal,NE
38,{d}inanna,NE
38,ba-hun,V
39,lu2-kal-la,NE
40,dub-sar,N
41,dumu,N
41,ur-e11-e,NE
41,szusz3,N
42,1(gesz'u),NU
42,sa,N
42,pa-ku5,N
43,gu-nigin2-ba,N
43,3(disz),NU
43,sa-ta,N
44,4(disz),NU
44,{gesz}dal,N
45,1(gesz'u),NU
45,5(gesz2),NU
45,2(u),NU
45,sa,N
45,ma-nu,N
46,gu-nigin2-ba,N
46,1(u),NU
46,2(disz),NU
46,sa-ta,N
47,nig2-ba,N
47,lugal,N
48,sig4-te-la2-ni,NE
48,szu,N
48,ba-ti,V
49,giri3,N
49,szu-ma-ma,NE
49,lu2,N
49,kin-gi4-a,N
49,lugal,N
50,lu2-tur-tur,NE
50,dub-sar,N
50,maszkim,N
51,3(u),NU
51,gu-nigin2-ba,N
51,pa-ku5,N
52,ur-{d}nin-lil2-la2,NE
53,sukkal,N
53,lu2-dingir-ra,NE
53,szu,N
53,ba-ti,V
54,lu2,N
54,ARAD2,NE
54,ka(SAG)-guru7,N
55,ki,N
55,ur-sila-luh-ta,NE
56,kiszib3,N
56,ensi2-ka,N
57,mu,N
57,{d}amar-{d}suen,NE
57,lugal,N
58,{d}szul-gi,NE
59,nita,N
59,kal-ga,V
60,lugal,N
60,uri5{ki}-ma,NE
61,lugal,N
61,an-ub-da,N
