ID,FORM,SEGM,XPOSTAG
o.1.1,1(disz),1(disz)[one],NU
o.1.2,udu-nita2,udunita[ram][-ø],N.ABS
o.1.3,ba-usz2,ba-usz[die][-ø],MID.V.3-SG-S
o.2.1,1(disz),1(disz)[one],NU
o.2.2,sila4,sila[lamb],N
o.2.3,ASZ-ur4,azur[type_of_sheep],N
o.2.4,ba-usz2,ba-usz[die][-ø],MID.V.3-SG-S
o.3.1,ki,ki[place],N
o.3.2,ur-u3-ta,Uru[1][-ak]-ta,PN.GEN.ABL
o.4.1,sza3,szag[heart],N
o.4.2,bala-a,bala[tax][-ak]-'a,N.GEN.L1
r.1.1,kiszib3,kiszib[seal],N
r.1.2,ARAD2,Arad[1][-ak],PN.GEN
r.2.1,iti,iti[month],N
r.2.2,sze-sag11-ku5,Szesagku[1][-'a],MN.L1
r.3.1,mu,mu[year],N
r.3.2,us2-sa,us[follow]-a,NF.V.PT
r.3.3,ki-masz{ki},Kimasz[1][-ø],SN.ABS
r.3.4,ba-hul,ba-hulu[destroy][-ø],MID.V.3-SG-S
s1.1.1,ARAD2-mu,Aradmu[1],PN
s1.2.1,dub-sar,dubsar[scribe],N
s1.3.1,dumu,dumu[child],N
s1.3.2,ur-nigar{gar},Urnigar[1],PN
s1.3.3,szusz3,kusz[cattle_manager][-ak],N.GEN
o.1.1,1(disz),1(disz)[one],NU
o.1.2,udu,udu[sheep][-ø],N.ABS
o.2.1,1(disz),1(disz)[one],NU
o.2.2,u8,u[ewe][-ø],N.ABS
o.3.1,1(disz),1(disz)[one],NU
o.3.2,sila4,sila[lamb][-ø],N.ABS
o.4.1,1(disz),1(disz)[one],NU
o.4.2,masz2-gal,maszgal[billy_goat][-ø],N.ABS
o.5.1,ba-usz2,ba-ug[die][-esz],MID.V.PL.3-PL-S
o.5.2,u4,ud[day],N
o.5.3,1(u),1(u)[ten],NU
o.5.4,la2,la[hang][-ø],NF.V.ABS
o.5.5,1(disz@t)-kam,1(disz@t)[one]-ak-am,NU.GEN.COP-3-SG
o.6.1,sza3,szag[heart],N
o.6.2,tum-ma-al,Tummal[1][-ak][-'a],SN.GEN.L1
r.1.1,ki,ki[place],N
r.1.2,en-dingir-mu-ta,Endingirmu[1][-ak]-ta,PN.GEN.ABL
r.2.1,{d}szul-gi-iri-mu,Szulgi'irimu[1][-e],PN.ERG
r.3.1,szu,szu[hand][-e],N.L3-NH
r.3.2,ba-ti,ba[-n]-teg[accept][-ø],MID.3-SG-H-A.V.3-SG-P
r.4.1,iti,iti[month],N
r.4.2,a2-ki-ti,Akiti[1][-'a],MN.L1
r.5.1,mu,mu[year],N
r.5.2,en,en[priest],N
r.5.3,{d}nanna,Nanna[1],DN
r.5.4,ba-hun,ba-hug[hire][-ø],MID.V.3-SG-S
o.1.1,1(disz),1(disz)[one],NU
o.1.2,udu,udu[sheep],N
o.1.3,1/3(disz),1/3(disz)[one],NU
o.1.4,gin2,gig[unit],N
o.1.5,2(u),2(u)[ten],NU
o.1.6,sze,sze[unit],N
o.1.7,...,_[_],_
o.2.1,3(disz),3(disz)[one],NU
o.2.2,udu,udu[sheep],N
o.2.3,1(disz),1(disz)[one],NU
o.2.4,gin2,gig[unit],N
o.2.5,igi-6(disz)-gal2,igi6(disz)[one]gal[fraction],NU
o.2.6,...,_[_],_
o.3.1,1(disz),1(disz)[one],NU
o.3.2,udu,udu[sheep],N
o.3.3,1/3(disz),1/3(disz)[one],NU
o.3.4,gin2,gig[unit],N
o.3.5,1(u),1(u)[ten],NU
o.3.6,sze,sze[unit],N
o.3.7,{d}suen-...,_[_],_
a.1.1,ur-ba-gara2,Urbagara[1],PN
a.2.1,dub-sar,dubsar[scribe],N
a.3.1,dumu,dumu[child],N
a.3.2,ur-{d}...,_[1][-ak],PN.GEN
o.1.1,1(ban2),1(ban)[unit],N
o.1.2,3(disz),3(disz)[one],NU
o.1.3,sila3,sila[unit],N
o.1.4,i3-nun,inun[ghee],N
o.2.1,1(ban2),1(ban)[unit],N
o.2.2,6(disz),6(disz)[one],NU
o.2.3,sila3,sila[unit],N
o.2.4,ga,ga[milk],N
o.2.5,gazi,gazi[condiment][-ø],N.ABS
o.3.1,ki,ki[place],N
