| end of split   1 /  1 | epoch   1 | time: 521.34s | valid loss  0.73 | valid ppl     2.08 | learning rate 20.0000
| end of split   1 /  1 | epoch   1 | time: 524.71s | valid loss  0.76 | valid ppl     2.13 | learning rate 10.0000
| end of split   1 /  1 | epoch   2 | time: 520.04s | valid loss  0.72 | valid ppl     2.06 | learning rate 10.0000
| end of split   1 /  1 | epoch   3 | time: 518.57s | valid loss  0.71 | valid ppl     2.03 | learning rate 10.0000
| end of split   1 /  1 | epoch   4 | time: 517.10s | valid loss  0.70 | valid ppl     2.01 | learning rate 10.0000
| end of split   1 /  1 | epoch   5 | time: 517.40s | valid loss  0.69 | valid ppl     1.99 | learning rate 10.0000
| end of split   1 /  1 | epoch   6 | time: 518.08s | valid loss  0.69 | valid ppl     1.98 | learning rate 10.0000
| end of split   1 /  1 | epoch   7 | time: 520.11s | valid loss  0.68 | valid ppl     1.98 | learning rate 10.0000
| end of split   1 /  1 | epoch   8 | time: 525.82s | valid loss  0.68 | valid ppl     1.98 | learning rate 10.0000
| end of split   1 /  1 | epoch   9 | time: 519.65s | valid loss  0.68 | valid ppl     1.97 | learning rate 10.0000
| end of split   1 /  1 | epoch  10 | time: 520.10s | valid loss  0.68 | valid ppl     1.97 | learning rate 10.0000
| end of split   1 /  1 | epoch  11 | time: 518.64s | valid loss  0.68 | valid ppl     1.97 | learning rate 10.0000
| end of split   1 /  1 | epoch  12 | time: 535.51s | valid loss  0.68 | valid ppl     1.97 | learning rate 10.0000
| end of split   1 /  1 | epoch  13 | time: 520.48s | valid loss  0.67 | valid ppl     1.96 | learning rate 10.0000
| end of split   1 /  1 | epoch  14 | time: 520.13s | valid loss  0.67 | valid ppl     1.96 | learning rate 10.0000
| end of split   1 /  1 | epoch  15 | time: 525.42s | valid loss  0.67 | valid ppl     1.96 | learning rate 10.0000
| end of split   1 /  1 | epoch  16 | time: 521.88s | valid loss  0.68 | valid ppl     1.96 | learning rate 10.0000
| end of split   1 /  1 | epoch  17 | time: 519.53s | valid loss  0.68 | valid ppl     1.97 | learning rate 10.0000
| end of split   1 /  1 | epoch  18 | time: 517.53s | valid loss  0.67 | valid ppl     1.95 | learning rate 2.5000
| end of split   1 /  1 | epoch  19 | time: 519.00s | valid loss  0.67 | valid ppl     1.95 | learning rate 2.5000
| end of split   1 /  1 | epoch  20 | time: 518.34s | valid loss  0.67 | valid ppl     1.95 | learning rate 2.5000
| end of split   1 /  1 | epoch  21 | time: 521.49s | valid loss  0.67 | valid ppl     1.95 | learning rate 2.5000
| end of split   1 /  1 | epoch  22 | time: 527.23s | valid loss  0.67 | valid ppl     1.95 | learning rate 2.5000
| end of split   1 /  1 | epoch  23 | time: 520.49s | valid loss  0.67 | valid ppl     1.95 | learning rate 2.5000
| end of split   1 /  1 | epoch  24 | time: 518.65s | valid loss  0.67 | valid ppl     1.95 | learning rate 2.5000
| end of split   1 /  1 | epoch  25 | time: 517.21s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.6250
| end of split   1 /  1 | epoch  26 | time: 516.74s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.6250
| end of split   1 /  1 | epoch  27 | time: 518.42s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.6250
| end of split   1 /  1 | epoch  28 | time: 520.07s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.6250
| end of split   1 /  1 | epoch  29 | time: 525.12s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.1562
| end of split   1 /  1 | epoch  30 | time: 520.02s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.1562
| end of split   1 /  1 | epoch  31 | time: 518.59s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.1562
| end of split   1 /  1 | epoch  32 | time: 516.88s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.1562
| end of split   1 /  1 | epoch  33 | time: 517.16s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.0391
| end of split   1 /  1 | epoch  34 | time: 519.00s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.0391
| end of split   1 /  1 | epoch  35 | time: 520.24s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.0391
| end of split   1 /  1 | epoch  36 | time: 524.90s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.0391
| end of split   1 /  1 | epoch  37 | time: 520.02s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.0098
| end of split   1 /  1 | epoch  38 | time: 517.85s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.0098
| end of split   1 /  1 | epoch  39 | time: 518.34s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.0098
