| end of split   1 /  1 | epoch   1 | time: 210.24s | valid loss  0.76 | valid ppl     2.14 | learning rate 20.0000
| end of split   1 /  1 | epoch   2 | time: 209.75s | valid loss  0.74 | valid ppl     2.11 | learning rate 20.0000
| end of split   1 /  1 | epoch   3 | time: 209.49s | valid loss  0.74 | valid ppl     2.09 | learning rate 20.0000
| end of split   1 /  1 | epoch   4 | time: 208.92s | valid loss  0.74 | valid ppl     2.09 | learning rate 20.0000
| end of split   1 /  1 | epoch   5 | time: 208.57s | valid loss  0.73 | valid ppl     2.08 | learning rate 20.0000
| end of split   1 /  1 | epoch   6 | time: 213.16s | valid loss  0.73 | valid ppl     2.08 | learning rate 20.0000
| end of split   1 /  1 | epoch   7 | time: 215.00s | valid loss  0.73 | valid ppl     2.07 | learning rate 20.0000
| end of split   1 /  1 | epoch   8 | time: 255.02s | valid loss  0.73 | valid ppl     2.07 | learning rate 20.0000
| end of split   1 /  1 | epoch   1 | time: 227.60s | valid loss  0.76 | valid ppl     2.15 | learning rate 20.0000
| end of split   1 /  1 | epoch   2 | time: 210.77s | valid loss  0.75 | valid ppl     2.11 | learning rate 20.0000
| end of split   1 /  1 | epoch   3 | time: 212.86s | valid loss  0.74 | valid ppl     2.09 | learning rate 20.0000
| end of split   1 /  1 | epoch   4 | time: 211.51s | valid loss  0.74 | valid ppl     2.09 | learning rate 20.0000
| end of split   1 /  1 | epoch   5 | time: 214.28s | valid loss  0.73 | valid ppl     2.08 | learning rate 20.0000
| end of split   1 /  1 | epoch   6 | time: 213.46s | valid loss  0.73 | valid ppl     2.07 | learning rate 20.0000
| end of split   1 /  1 | epoch   7 | time: 211.87s | valid loss  0.73 | valid ppl     2.08 | learning rate 20.0000
| end of split   1 /  1 | epoch   8 | time: 213.39s | valid loss  0.73 | valid ppl     2.07 | learning rate 20.0000
| end of split   1 /  1 | epoch   9 | time: 212.89s | valid loss  0.73 | valid ppl     2.07 | learning rate 20.0000
| end of split   1 /  1 | epoch  10 | time: 212.76s | valid loss  0.73 | valid ppl     2.08 | learning rate 20.0000
| end of split   1 /  1 | epoch  11 | time: 209.94s | valid loss  0.73 | valid ppl     2.07 | learning rate 20.0000
| end of split   1 /  1 | epoch   1 | time: 211.21s | valid loss  0.76 | valid ppl     2.14 | learning rate 20.0000
| end of split   1 /  1 | epoch   2 | time: 210.86s | valid loss  0.74 | valid ppl     2.10 | learning rate 20.0000
| end of split   1 /  1 | epoch   3 | time: 210.37s | valid loss  0.74 | valid ppl     2.09 | learning rate 20.0000
| end of split   1 /  1 | epoch   4 | time: 210.02s | valid loss  0.74 | valid ppl     2.09 | learning rate 20.0000
| end of split   1 /  1 | epoch   5 | time: 209.49s | valid loss  0.73 | valid ppl     2.08 | learning rate 20.0000
| end of split   1 /  1 | epoch   6 | time: 209.87s | valid loss  0.73 | valid ppl     2.07 | learning rate 20.0000
| end of split   1 /  1 | epoch   7 | time: 210.64s | valid loss  0.73 | valid ppl     2.07 | learning rate 20.0000
| end of split   1 /  1 | epoch   8 | time: 210.42s | valid loss  0.73 | valid ppl     2.07 | learning rate 20.0000
| end of split   1 /  1 | epoch   9 | time: 210.63s | valid loss  0.73 | valid ppl     2.07 | learning rate 20.0000
| end of split   1 /  1 | epoch  10 | time: 209.53s | valid loss  0.73 | valid ppl     2.07 | learning rate 20.0000
| end of split   1 /  1 | epoch  11 | time: 209.76s | valid loss  0.73 | valid ppl     2.07 | learning rate 20.0000
| end of split   1 /  1 | epoch  12 | time: 209.06s | valid loss  0.73 | valid ppl     2.07 | learning rate 20.0000
| end of split   1 /  1 | epoch  13 | time: 209.87s | valid loss  0.72 | valid ppl     2.06 | learning rate 20.0000
| end of split   1 /  1 | epoch  14 | time: 210.11s | valid loss  0.72 | valid ppl     2.06 | learning rate 20.0000
| end of split   1 /  1 | epoch  15 | time: 210.28s | valid loss  0.73 | valid ppl     2.07 | learning rate 20.0000
| end of split   1 /  1 | epoch  16 | time: 209.98s | valid loss  0.72 | valid ppl     2.06 | learning rate 20.0000
| end of split   1 /  1 | epoch  17 | time: 209.61s | valid loss  0.72 | valid ppl     2.06 | learning rate 20.0000
| end of split   1 /  1 | epoch  18 | time: 209.68s | valid loss  0.73 | valid ppl     2.07 | learning rate 20.0000
| end of split   1 /  1 | epoch  19 | time: 209.17s | valid loss  0.73 | valid ppl     2.06 | learning rate 20.0000
| end of split   1 /  1 | epoch  20 | time: 210.04s | valid loss  0.73 | valid ppl     2.08 | learning rate 20.0000
TEST: valid loss  0.74 | valid ppl     2.09
| end of split   1 /  1 | epoch   1 | time: 153.24s | valid loss  0.77 | valid ppl     2.17 | learning rate 20.0000
| end of split   1 /  1 | epoch   2 | time: 153.76s | valid loss  0.75 | valid ppl     2.12 | learning rate 20.0000
| end of split   1 /  1 | epoch   3 | time: 151.02s | valid loss  0.74 | valid ppl     2.10 | learning rate 20.0000
| end of split   1 /  1 | epoch   1 | time: 523.85s | valid loss  0.74 | valid ppl     2.09 | learning rate 20.0000
| end of split   1 /  1 | epoch   1 | time: 522.05s | valid loss  0.73 | valid ppl     2.08 | learning rate 20.0000
| end of split   1 /  1 | epoch   1 | time: 522.02s | valid loss  0.74 | valid ppl     2.09 | learning rate 20.0000
| end of split   1 /  1 | epoch   2 | time: 518.31s | valid loss  0.71 | valid ppl     2.03 | learning rate 20.0000
| end of split   1 /  1 | epoch   3 | time: 517.17s | valid loss  0.70 | valid ppl     2.02 | learning rate 20.0000
| end of split   1 /  1 | epoch   4 | time: 515.13s | valid loss  0.70 | valid ppl     2.01 | learning rate 20.0000
| end of split   1 /  1 | epoch   5 | time: 516.55s | valid loss  0.69 | valid ppl     2.00 | learning rate 20.0000
| end of split   1 /  1 | epoch   6 | time: 517.95s | valid loss  0.69 | valid ppl     2.00 | learning rate 20.0000
| end of split   1 /  1 | epoch   7 | time: 519.83s | valid loss  0.69 | valid ppl     2.00 | learning rate 20.0000
| end of split   1 /  1 | epoch   8 | time: 522.60s | valid loss  0.69 | valid ppl     1.99 | learning rate 20.0000
| end of split   1 /  1 | epoch   9 | time: 521.00s | valid loss  0.69 | valid ppl     1.99 | learning rate 20.0000
| end of split   1 /  1 | epoch  10 | time: 517.44s | valid loss  0.68 | valid ppl     1.98 | learning rate 20.0000
| end of split   1 /  1 | epoch  11 | time: 516.00s | valid loss  0.68 | valid ppl     1.98 | learning rate 20.0000
| end of split   1 /  1 | epoch  12 | time: 516.06s | valid loss  0.68 | valid ppl     1.98 | learning rate 20.0000
| end of split   1 /  1 | epoch  13 | time: 518.44s | valid loss  0.68 | valid ppl     1.98 | learning rate 20.0000
| end of split   1 /  1 | epoch  14 | time: 520.45s | valid loss  0.68 | valid ppl     1.97 | learning rate 20.0000
