	Transliteration	Normalized
0	A-AN-ba-az	A.AN.ba.az[]PN
1	A-KU-um	A.KU.um[]PN
2	A-KU.KU-ta	A.KU.KU[]PN
3	A-NI-ta	A.NI[]PN
4	A-U.E2-nu-tuku	A.U.E₂.nu.tuku[]PN
5	A-a-	Aya[]PN
6	A-a-bad3	Ayabad[]PN
7	A-a-ce3	Aya[]PN
8	A-a-dingir	Ayadiŋir[]PN
9	A-a-dingir-mu	Ayadiŋirŋu[]PN
10	A-a-dingir-mu-ta	Ayadiŋirŋu[]PN
11	A-a-dingir-ta	Ayadiŋir[]PN
12	A-a-i3-li2	Ayaʾili[]PN
13	A-a-i3-li2-cu	Ayaʾilišu[]PN
14	A-a-kal-la	Ayakala[]PN
15	A-a-kal-la-mu	Ayakalaŋu[]PN
16	A-a-kal-la-ta	Ayakala[]PN
17	A-a-ma	Ayama[]PN
18	A-a-mu	Ayaŋu[]PN
19	A-a-mu-ce3	Ayaŋu[]PN
20	A-a-mu-dah	Ayamudah[]PN
21	A-a-mu-ta	Ayaŋu[]PN
22	A-a-ni	Ayani[]PN
23	A-a-ri2-mu-ce3	Ayariŋu[]PN
24	A-a-ti	Ayati[]PN
25	A-a-u4-su3-ce3	Ayaʾusu[]PN
26	A-a-ur-sag	Ayaʾursaŋ[]PN
27	A-a-{d}Nanna-ar-kal-la	AyaNanarkala[]PN
28	A-ab-ba	Aaba[]PN
29	A-ab-ba-a	Aabaa[]PN
30	A-ab-ba-a-ta	Aabaa[]PN
31	A-ab-ba-bi	Aababi[]PN
32	A-ab-ba-bi-ta	Aababi[]PN
33	A-ab-ba-mmu	Aabamu[]PN
34	A-ab-ba-mu	Aabaŋu[]PN
35	A-ab-ba-ni	Aabani[]PN
36	A-ab-ba-sig5	Aabasig[]PN
37	A-ab-ba-ta	Aaba[]PN
38	A-ab-mi-ra-din	Aabmiradin[]PN
39	A-ad-da	Aada[]PN
40	A-ad-da-a	Aadaa[]PN
41	A-ad-da-mu	Aadaŋu[]PN
42	A-ad-da-ni-ra-am-an-ni	Aadaniramani[]PN
43	A-al-la	Aala[]PN
44	A-al-la-mu	Aalaŋu[]PN
45	A-al-la-mu-ta	Aalaŋu[]PN
46	A-al-mu	Aalŋu[]PN
47	A-al-mu-ta	Aalŋu[]PN
48	A-am-ma	Aama[]PN
49	A-an-na	Aana[]PN
50	A-an-na-ti	Aanati[]PN
51	A-ar-ba-tal	Aarbatal[]PN
52	A-ba	Aba[]PN
53	A-ba-al-la-ta	Abala[]PN
54	A-ba-al{ki}	Abal[]SN
55	A-ba-ar-da	Abarda[]PN
56	A-ba-ar-du-uk	Abarduk[]PN
57	A-ba-ar-ni-um{ki}	Abarniʾum[]SN
58	A-ba-ba	Ababa[]PN
59	A-ba-cec-mu-gen7	Abašešmugen[]PN
60	A-ba-dingir-gen7	Abadiŋirgen[]PN
61	A-ba-dingir-mu-gen7	Abadiŋirmugen[]PN
62	A-ba-e-ne-gen7	Abaʾenegen[]PN
63	A-ba-ni	Abani[]PN
64	A-ba-sa6-ga	Abasaga[]PN
65	A-ba-sa6-ga-ta	Abasaga[]PN
66	A-ba-{d}Cara2-ta	AbaŠara[]PN
67	A-ba-{d}En-lil2-gen7	AbaEnlilgen[]PN
68	A-ba-{d}En-lil2-gen7-ta	AbaEnlilgen[]PN
69	A-ba-{d}en-lil2-gen7	AbaEnlilgen[]PN
70	A-bi-a-bi-ih	Abiʾabih[]PN
71	A-bi-a-ti	Abiʾati[]PN
72	A-bi-nu-um	Abinum[]PN
73	A-bi-si2-im-ti	Abisimti[]PN
74	A-bi2-DINGIR	A.bi₂.DINGIR[]PN
75	A-bi2-DU10	A.bi₂.DU₁₀[]PN
76	A-bi2-DU10-ta	A.bi₂.DU₁₀[]PN
77	A-bi2-E2	A.bi₂.E₂[]PN
78	A-bi2-UD.IC	A.bi₂.UD.IŠ[]PN
79	A-bi2-a	Abiʾa[]PN
80	A-bi2-a-bi-ih	Abiʾabih[]PN
81	A-bi2-a-bi2-ih	Abiʾabih[]PN
