	Transliteration	Normalized
0	A-AMA-a2-a	A.AMA.a₂.a[]PN
1	A-AN-ba-az	A.AN.ba.az[]PN
2	A-Ab-ba-ge-na-ta	A.Ab.ba.ge.na[]PN
3	A-Ad-da	A.Ad.da[]PN
4	A-Ad-da-kal-la	A.Ad.da.kal.la[]PN
5	A-Ad-da-mu	A.Ad.da.ŋu₁₀[]PN
6	A-An-na-hi-li-bi	A.An.na.hi.li.bi[]PN
7	A-DU-a	A.DU.a[]PN
8	A-DU-ba	A.DU.ba[]PN
9	A-DU-ba-bi	A.DU.ba.bi[]PN
10	A-DU-gam-ma	A.DU.gam.ma[]PN
11	A-DU-la-URU	A.DU.la.URU[]PN
12	A-DU-mu	A.DU.ŋu₁₀[]PN
13	A-DU-mu-ta	A.DU.ŋu₁₀[]PN
14	A-DU-ra-mu	A.DU.ra.ŋu₁₀[]PN
15	A-DU-ta	A.DU[]PN
16	A-DU.DU-e	A.DU.DU.e[]PN
17	A-DU.DU-ke4	A.DU.DU[]PN
18	A-DU.DU-ta	A.DU.DU[]PN
19	A-DU.DU-še3	A.DU.DU[]PN
20	A-Eš4-tar2	A.Eš₄.tar₂[]PN
21	A-GU4-na-mu	A.GU₄.na.ŋu₁₀[]PN
22	A-KA-a	A.KA.a[]PN
23	A-KU-um	A.KU.um[]PN
24	A-KU.KU-lum	A.KU.KU.lum[]PN
25	A-KU.KU-ta	A.KU.KU[]PN
26	A-LUM-ma	A.LUM.ma[]PN
27	A-MUNU4-da	A.MUNU₄.da[]PN
28	A-NE-i3-zi	A.NE.i₃.zi[]PN
29	A-NE-ku-bi	A.NE.ku.bi[]PN
30	A-NI-NI-še3	A.NI.NI[]PN
31	A-NI-ma	A.NI.ma[]PN
32	A-NI-nu	A.NI.nu[]PN
33	A-NI-sig5	A.NI.sig₅[]PN
34	A-NI-ta	A.NI[]PN
35	A-NI.NI-ki-ma-še3	A.NI.NI.ki.ma[]PN
36	A-PA4-u2-a	A.PA₄.u₂.a[]PN
37	A-TU5-še3	A.TU₅[]PN
38	A-U.E2-nu-tuku	A.U.E₂.nu.tuku[]PN
39	A-a	Aya[]PN
40	A-a-	Aya[]PN
41	A-a-Kal-la	Aya.Kal.la[]PN
42	A-a-NI	Aya.NI[]PN
43	A-a-UN-e-ba-ab-du7	Aya.UN.e.ba.ab.du₇[]PN
44	A-a-a	Ayaa[]PN
45	A-a-ab-ba	Ayaba[]PN
46	A-a-ar	Ayar[]PN
47	A-a-ba	Ayaba[]PN
48	A-a-ba-ni	Ayabani[]PN
49	A-a-ba-ta	Ayaba[]PN
50	A-a-bad3	Ayabad[]PN
51	A-a-bad3-da-ri2-a	Ayabadariʾa[]PN
52	A-a-bad3-mu	Ayabadŋu[]PN
53	A-a-bar-ra	Ayabara[]PN
54	A-a-bi	Ayabi[]PN
55	A-a-bi-ta	Ayabi[]PN
56	A-a-bi2-du10	Ayabidug[]PN
57	A-a-da	Ayada[]PN
58	A-a-dingir	Ayadiŋir[]PN
59	A-a-dingir-mu	Ayadiŋirŋu[]PN
60	A-a-dingir-mu-ta	Ayadiŋirŋu[]PN
61	A-a-dingir-mu-še3	Ayadiŋirŋu[]PN
62	A-a-dingir-ta	Ayadiŋir[]PN
63	A-a-du10-ga	Ayaduga[]PN
64	A-a-e	Ayaʾe[]PN
65	A-a-ga	Ayaga[]PN
66	A-a-ga-mu	Ayagaŋu[]PN
67	A-a-ga-ta	Ayaga[]PN
68	A-a-ge-na	Ayagena[]PN
69	A-a-ge-na-ta	Ayagena[]PN
70	A-a-gir15	Ayagir[]PN
71	A-a-gir15{ir}	Ayagir[]PN
72	A-a-gu-ni	Ayaguni[]PN
73	A-a-ha-ma-ti	Ayahamati[]PN
74	A-a-i3-li2	Ayaʾili[]PN
75	A-a-i3-li2-su	Ayaʾilisu[]PN
76	A-a-i3-li2-šu	Ayaʾilišu[]PN
77	A-a-igi-du8-a	Ayaʾigiduʾa[]PN
78	A-a-ka-la	Ayakala[]PN
79	A-a-kal	Ayakal[]PN
80	A-a-kal-la	Ayakala[]PN
81	A-a-kal-la-	Ayakala[]PN
