ID,FORM,XPOSTAG
1,szunigin,N
1,5(u),NU
1,1(asz),NU
1,5(ban2),N
1,6(disz),NU
1,sila3,N
1,1(u),NU
1,5(disz),NU
1,gin2,N
1,sze,N
1,gur,N
2,ki,N
2,lu2-dingir-ra-ta,NE
3,igi-6(disz)-gal2,NU
3,1(u),NU
3,5(disz),NU
3,sze,N
3,apin-la2,N
3,lu2-e2-edin-na,NE
3,szuku,N
3,lu2-engar-da-ri2,NE
3,gab2-ra,N
4,szunigin,N
4,1/2(disz),NU
4,sila3,N
4,5(disz),NU
4,gin2,N
4,szum2,N
5,sukkal-di-de3,NE
5,lu2,N
5,{gesz}tukul-gu-la,N
6,nin-ni-mah,NE
6,sukkal,N
7,ki,N
7,iri-da-na,NE
7,aszgab-ta,N
8,a-sza3,N
8,gu2,N
8,i7,N
8,i7-i3-sum-ka,NE
9,un-ga-mu,NE
10,2(disz),NU
10,gin2,N
10,ku3,N
10,giri3,N
10,ur-{d}{sze3}szer7-da,NE
11,puzur4-i3-li2,NE
12,giri3,N
12,{d}utu-kalam,NE
13,2(disz),NU
13,ze2-lu-usz-{d}da-gan,NE
13,dumu,N
13,zi-la-a,NE
14,in-szi-wi-ir,NE
15,ugula,N
15,il-ib-ri,NE
16,1(disz),NU
16,sila4,N
16,{d}ga-an-sur,NE
17,geme2-da-nin,NE
18,1(u),NU
18,1(disz),NU
18,gurusz,N
18,ugula,N
18,iri-ma-ba,NE
19,kiszib3,N
19,lu2-gu,NE
20,ama-x-...,NE
21,2(asz),NU
21,2(barig),N
21,lugal-KA-gi-na,NE
22,1(asz),NU
22,1(barig),N
22,lugal-me-du10-ga,NE
23,ki,N
23,szu-i-ne,NE
23,ba-zi,V
24,giri3,N
24,a-ki-zu,NE
24,sa12-du5,N
25,i7,N
25,gibil,V
25,i7-{d}nanna,NE
26,ki,N
26,eb-ku-sza-ta,NE
27,ki,N
27,lugal-ti-le,NE
28,mu-kux(DU),N
28,ku-za-a,NE
29,kiszib3,N
29,a-hu-um-ba,NE
30,kiszib3,N
30,i3-li2-sa6,NE
31,nimgir-sza3-kusz2,NE
32,1(ban2),N
32,2(disz),NU
32,gin2,N
32,lu2-x-e2-di,NE
33,i7,N
33,{d}tuku-HAR,NE
34,ki,N
34,da-ad-da,NE
35,1(disz),NU
35,gu4,N
36,1(asz),NU
36,sza3-nu-gal2,NE
37,1(disz),NU
37,gi,N
37,kid2,N
37,ma2,N
37,ka-gir-ra,N
38,ur-nin-ti,NE
39,2(disz),NU
39,bu3-MI-za,NE
40,geme2-ki-siki-ka,NE
41,zi3,N
41,dub-dub-sze3,N
42,u3,CNJ
42,szul-la-x,NE
43,{d}nam2-nun,NE
44,{d}nin-...-ka-i3-sa6,NE
44,x,O
44,x,O
45,kiszib3-bi,N
45,1(u),NU
45,4(disz)-am3,NU
45,kiszib3,N
45,igi-e2-unu{ki},NE
46,lugal,N
