ID,FORM,XPOSTAG
1,szunigin,N
1,5(u),NU
1,1(asz),NU
1,5(ban2),N
1,6(disz),NU
1,sila3,N
1,1(u),NU
1,5(disz),NU
1,gin2,N
1,sze,N
1,gur,N
2,ki,N
2,lu2-dingir-ra-ta,PN
3,igi-6(disz)-gal2,NU
3,1(u),NU
3,5(disz),NU
3,sze,N
3,apin-la2,N
3,lu2-e2-edin-na,PN
3,szuku,N
3,lu2-engar-da-ri2,PN
3,gab2-ra,N
4,szunigin,N
4,1/2(disz),NU
4,sila3,N
4,5(disz),NU
4,gin2,N
4,szum2,N
5,sukkal-di-de3,PN
5,lu2,N
5,{gesz}tukul-gu-la,N
6,nin-ni-mah,PN
6,sukkal,N
7,ki,N
7,iri-da-na,PN
7,aszgab-ta,N
8,a-sza3,N
8,gu2,N
8,i7,N
8,i7-i3-sum-ka,WN
9,un-ga-mu,PN
10,2(disz),NU
10,gin2,N
10,ku3,N
10,giri3,N
10,ur-{d}{sze3}szer7-da,PN
11,puzur4-i3-li2,PN
12,giri3,N
12,{d}utu-kalam,PN
13,2(disz),NU
13,ze2-lu-usz-{d}da-gan,PN
13,dumu,N
13,zi-la-a,PN
14,in-szi-wi-ir,PN
15,ugula,N
15,il-ib-ri,PN
16,1(disz),NU
16,sila4,N
16,{d}ga-an-sur,DN
17,geme2-da-nin,PN
18,1(u),NU
18,1(disz),NU
18,gurusz,N
18,ugula,N
18,iri-ma-ba,PN
19,kiszib3,N
19,lu2-gu,PN
20,ama-x-...,PN
21,2(asz),NU
21,2(barig),N
21,lugal-KA-gi-na,PN
22,1(asz),NU
22,1(barig),N
22,lugal-me-du10-ga,PN
23,ki,N
23,szu-i-ne,PN
23,ba-zi,V
24,giri3,N
24,a-ki-zu,PN
24,sa12-du5,N
25,i7,N
25,gibil,V
25,i7-{d}nanna,WN
26,ki,N
26,eb-ku-sza-ta,PN
27,ki,N
27,lugal-ti-le,PN
28,mu-kux(DU),N
28,ku-za-a,PN
29,kiszib3,N
29,a-hu-um-ba,PN
30,kiszib3,N
30,i3-li2-sa6,PN
31,nimgir-sza3-kusz2,PN
32,1(ban2),N
32,2(disz),NU
32,gin2,N
32,lu2-x-e2-di,PN
33,i7,N
33,{d}tuku-HAR,DN
34,ki,N
34,da-ad-da,PN
35,1(disz),NU
35,gu4,N
36,1(asz),NU
36,sza3-nu-gal2,PN
37,1(disz),NU
37,gi,N
37,kid2,N
37,ma2,N
37,ka-gir-ra,N
38,ur-nin-ti,PN
39,2(disz),NU
39,bu3-MI-za,PN
40,geme2-ki-siki-ka,PN
41,zi3,N
41,dub-dub-sze3,N
42,u3,CNJ
42,szul-la-x,PN
43,{d}nam2-nun,DN
44,{d}nin-...-ka-i3-sa6,PN
44,x,O
44,x,O
45,kiszib3-bi,N
45,1(u),NU
45,4(disz)-am3,NU
45,kiszib3,N
45,igi-e2-unu{ki},PN
46,lugal,N
